date,stock_id,trade_volume,trade_value,transaction_count,source_url,source_month
2026-06-10,2317,93369272,25034494841,124841,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-11,2317,97550509,25053452346,102097,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-12,2317,60260948,15902363857,56015,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-15,2317,54689024,14654327677,47325,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-16,2317,56878574,15292916716,40470,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-17,2317,42755242,11510771202,44766,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-18,2317,68996866,18605623168,53509,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-22,2317,67145972,18191564426,62768,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-23,2317,92063800,24189817018,112205,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-24,2317,63690545,16380115615,67704,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-25,2317,43578494,11325940448,40020,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-26,2317,80450955,20204165523,101402,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-29,2317,49210311,12235300546,55602,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-06-30,2317,52952173,13366226688,39123,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=2317&response=csv,2026-06
2026-07-01,2317,65880617,16492926865,70335,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-02,2317,67897136,16295091341,78740,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-03,2317,51008242,12190174057,49831,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-06,2317,43693584,10638459575,44070,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-07,2317,51778760,12365371472,67545,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-08,2317,37939126,8963064431,39828,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
