period,period_start,period_end,ticker,statement_scope,currency,source_unit,operating_cash_flow_thousand_ntd,ppe_capex_thousand_ntd,intangible_capex_thousand_ntd,free_cash_flow_core_thousand_ntd,free_cash_flow_after_intangibles_thousand_ntd,free_cash_flow_core_100m_ntd,free_cash_flow_after_intangibles_100m_ntd,formula_core,formula_after_intangibles,source_report_url,source_landing_url,source_pages,source_document_sha256,verification_status,actionable
2025Q1,2025-01-01,2025-03-31,2317,CONSOLIDATED,TWD,THOUSAND_TWD,-51063465,43835338,316913,-94898803,-95215716,-948.98803,-952.15716,OPERATING_CASH_FLOW_MINUS_PPE_CAPEX,OPERATING_CASH_FLOW_MINUS_PPE_CAPEX_MINUS_INTANGIBLE_CAPEX,https://image.honhai.com/upload/202605/financy_by_quarterly/2026Q1_consolidared_report(c)_20260515_2694.pdf,https://www.honhai.com/zh-tw/investor-relations/financial-information/reports?category=quarterly,10|11,7D7F1DF0D08257F49A1E112AB644665B586AB748609918335A57B4B664925D3D,OFFICIAL_HONHAI_PDF_VERIFIED,false
2026Q1,2026-01-01,2026-03-31,2317,CONSOLIDATED,TWD,THOUSAND_TWD,3217154,35774345,300141,-32557191,-32857332,-325.57191,-328.57332,OPERATING_CASH_FLOW_MINUS_PPE_CAPEX,OPERATING_CASH_FLOW_MINUS_PPE_CAPEX_MINUS_INTANGIBLE_CAPEX,https://image.honhai.com/upload/202605/financy_by_quarterly/2026Q1_consolidared_report(c)_20260515_2694.pdf,https://www.honhai.com/zh-tw/investor-relations/financial-information/reports?category=quarterly,10|11,7D7F1DF0D08257F49A1E112AB644665B586AB748609918335A57B4B664925D3D,OFFICIAL_HONHAI_PDF_VERIFIED,false

