Path,PriorLatest,NewLatest,PriorRows,NewRows,RowsPromoted,PreSha256,PostSha256,PreBytes,PostBytes
data/2317_daily_price.csv,2026-08-11,2026-08-27,127,139,12,1C32081288731725CBA000C1CCC5144A24DD2A6F9A15A2964F930D8953839C6D,5F59F71BF0CF51BDE96F0FBE39CFF5D8ED5A6BF3893C376A3FA89DB7F5870EAD,7191,7875
data/2317_daily_market_activity.csv,2026-08-11,2026-08-27,77,89,12,021244A6E25894DB93C2223CA493EBA0BD72610D7CE06D4B95BCB5FBFD82D4BB,899B2F8C103C0DC2993757391DF4617014146FEDE89D82D11B52C53208364E83,11268,13002
data/fx_trend_observations.csv,2026-07-27,2026-08-27,12,13,1,BFEC53845C68D689D20CC29972550279E3A4AE8D473816EFDB0855FF0DD091CD,29343973B163D3E0B61EF6E6BBD42862E3A324D3E8CC20DE3069FA77D22A8267,6066,6521
data/macro_snapshot.csv,2026-07-10,2026-08-27,39,40,1,30A4755E87CECD4230FA8A521DF485385A89AC2A4E1E2B5726CBFD14AB96C86F,7C3E5F320FBD7F1558CBA670246B5A3062060769A0420A105A4CAF8499DABC63,9012,9451
data/CSV_AUTHORITY_MANIFEST.json,N/A,2026-08-27,N/A,N/A,N/A,C6FF94A1FB2C9C877D7620184BDDD9A6270355ED833318638C3D87EB634A5398,92813936E828C7E4740F0781EC8AC010D901F0CF811F36BCC71054460B280C73,25738,25812
